credit.policy,credit.policy,days.with.cr.line,days.with.cr.line,delinq.2yrs,delinq.2yrs,dti,dti,fico,fico,inq.last.6mths,inq.last.6mths,installment,installment,int.rate,log.annual.inc,log.annual.inc,not.fully.paid,not.fully.paid,pub.rec,pub.rec,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,revol.bal,revol.bal,revol.util,revol.util
1,1,1601.041667,1601.041667,0,0,21.88,21.88,667,667,0,0,316.99,316.99,0.1362,10.30895266,10.30895266,0,0,0,0,0,1,0,0,0,0,7429,7429,82.5,82.5
1,1,8190.041667,8190.041667,1,1,9.99,9.99,767,767,1,1,62.15,62.15,0.0743,11.12714533,11.12714533,0,0,0,0,0,0,0,0,0,0,2475,2475,5.4,5.4
1,1,6007.041667,6007.041667,0,0,7.67,7.67,762,762,1,1,69.14,69.14,0.0743,11.69524702,11.69524702,1,1,0,0,0,0,0,0,0,0,21521,21521,29.5,29.5
1,1,1410.0,1410.0,1,1,17.2,17.2,667,667,0,0,72.78,72.78,0.1172,10.57821615,10.57821615,0,0,0,0,0,0,0,0,0,0,4863,4863,69.5,69.5
1,1,4559.041667,4559.041667,0,0,2.14,2.14,777,777,6,6,800.95,800.95,0.0951,11.08214255,11.08214255,0,0,0,0,0,0,0,0,0,1,3326,3326,14.3,14.3
1,1,1800.0,1800.0,0,0,15.84,15.84,717,717,1,1,230.68,230.68,0.0951,10.38887228,10.38887228,0,0,0,0,0,0,0,0,0,0,3247,3247,33.3,33.3
1,1,8159.041667,8159.041667,2,2,14.82,14.82,677,677,2,2,539.03,539.03,0.1299,10.66895539,10.66895539,0,0,0,0,0,1,0,0,0,0,13115,13115,42.3,42.3
1,1,2849.0,2849.0,0,0,4.67,4.67,662,662,1,1,406.07,406.07,0.133,10.71441777,10.71441777,1,1,0,0,0,1,0,0,0,0,7209,7209,38.1,38.1
1,1,5400.0,5400.0,0,0,10.1,10.1,782,782,1,1,337.19,337.19,0.0775,10.08580911,10.08580911,0,0,0,0,0,0,0,0,0,1,1458,1458,18.0,18.0
1,1,1230.041667,1230.041667,0,0,1.03,1.03,727,727,1,1,255.15,255.15,0.092,10.46310334,10.46310334,0,0,0,0,0,0,0,0,0,0,1834,1834,12.8,12.8
1,1,5836.0,5836.0,3,3,13.28,13.28,727,727,3,3,223.26,223.26,0.092,11.38509209,11.38509209,0,0,0,0,0,0,0,0,1,0,12672,12672,21.0,21.0
1,1,4890.041667,4890.041667,0,0,14.08,14.08,792,792,1,1,188.02,188.02,0.08,10.77895629,10.77895629,0,0,0,0,0,0,0,0,0,0,2573,2573,16.3,16.3
1,1,2490.0,2490.0,0,0,14.57,14.57,702,702,0,0,84.0,84.0,0.1008,10.23995979,10.23995979,0,0,0,0,0,1,0,0,0,0,12979,12979,31.0,31.0
1,1,8370.0,8370.0,0,0,3.19,3.19,777,777,1,1,310.24,310.24,0.08,11.52682837,11.52682837,0,0,0,0,1,0,0,0,0,0,1715,1715,8.2,8.2
1,1,3509.041667,3509.041667,0,0,7.74,7.74,707,707,2,2,46.63,46.63,0.0976,11.08214255,11.08214255,0,0,0,0,0,0,1,0,0,0,20762,20762,48.5,48.5
1,1,6752.041667,6752.041667,0,0,9.14,9.14,762,762,0,0,644.71,644.71,0.0976,10.16585182,10.16585182,1,1,0,0,0,0,0,0,0,1,507,507,3.5,3.5
1,1,1110.0,1110.0,1,1,0.0,0.0,727,727,0,0,142.33,142.33,0.0863,9.210340372,9.210340372,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,1,3900.041667,3900.041667,0,0,10.51,10.51,742,742,3,3,409.73,409.73,0.0945,11.51292546,11.51292546,0,0,0,0,0,1,0,0,0,0,15491,15491,25.4,25.4
1,1,1560.0,1560.0,0,0,16.26,16.26,717,717,1,1,129.22,129.22,0.1008,10.3859137,10.3859137,0,0,0,0,0,0,0,1,0,0,2352,2352,27.3,27.3
1,1,4085.0,4085.0,0,0,13.11,13.11,727,727,1,1,652.04,652.04,0.1071,10.86969163,10.86969163,0,0,0,0,0,1,0,0,0,0,16194,16194,39.8,39.8
1,1,1621.041667,1621.041667,0,0,14.45,14.45,707,707,0,0,292.06,292.06,0.1039,10.49460201,10.49460201,0,0,0,0,0,1,0,0,0,0,4551,4551,25.3,25.3
1,1,4261.041667,4261.041667,0,0,8.72,8.72,687,687,0,0,394.8,394.8,0.1134,10.54534144,10.54534144,0,0,0,0,0,1,0,0,0,0,11134,11134,70.9,70.9
1,1,1680.041667,1680.041667,0,0,0.32,0.32,717,717,2,2,28.47,28.47,0.0863,10.95080655,10.95080655,0,0,0,0,0,0,0,1,0,0,167,167,3.3,3.3
1,1,1530.0,1530.0,0,0,6.82,6.82,697,697,2,2,360.29,360.29,0.1103,9.92329018,9.92329018,1,1,0,0,0,1,0,0,0,0,3041,3041,84.5,84.5
1,1,4560.041667,4560.041667,0,0,18.55,18.55,667,667,0,0,420.47,420.47,0.1576,11.51292546,11.51292546,0,0,0,0,0,1,0,0,0,0,34841,34841,89.6,89.6
1,1,4080.0,4080.0,0,0,10.86,10.86,717,717,1,1,224.07,224.07,0.0945,11.44035477,11.44035477,1,1,0,0,0,0,0,0,0,0,5257,5257,32.9,32.9
1,1,5208.0,5208.0,0,0,11.13,11.13,717,717,0,0,150.45,150.45,0.0945,11.08214255,11.08214255,0,0,0,0,1,0,0,0,0,0,16724,16724,41.7,41.7
1,1,4410.0,4410.0,0,0,15.83,15.83,682,682,1,1,365.2,365.2,0.1197,10.49127422,10.49127422,0,0,0,0,0,0,0,0,0,0,23253,23253,72.0,72.0
1,1,2370.041667,2370.041667,0,0,15.5,15.5,707,707,0,0,491.3,491.3,0.1103,11.11542853,11.11542853,1,1,0,0,0,1,0,0,0,0,12569,12569,46.2,46.2
1,1,2729.041667,2729.041667,0,0,21.28,21.28,752,752,2,2,464.05,464.05,0.1039,10.30895266,10.30895266,0,0,0,0,1,0,0,0,0,0,5649,5649,30.2,30.2
1,1,4890.041667,4890.041667,0,0,11.96,11.96,667,667,0,0,405.72,405.72,0.1324,10.20359214,10.20359214,0,0,0,0,0,1,0,0,0,0,8671,8671,61.5,61.5
1,1,5729.041667,5729.041667,0,0,1.63,1.63,792,792,0,0,377.82,377.82,0.0832,11.40756495,11.40756495,0,0,0,0,0,1,0,0,0,0,4359,4359,15.3,15.3
1,1,2009.041667,2009.041667,0,0,10.9,10.9,662,662,3,3,338.1,338.1,0.1324,10.96819829,10.96819829,0,0,1,1,0,0,0,0,0,0,10055,10055,54.9,54.9
1,1,2190.0,2190.0,0,0,5.17,5.17,707,707,1,1,290.75,290.75,0.1008,10.57131693,10.57131693,0,0,0,0,0,1,0,0,0,0,8486,8486,66.8,66.8
1,1,4439.958333,4439.958333,0,0,19.61,19.61,717,717,1,1,272.59,272.59,0.1039,10.46321762,10.46321762,0,0,1,1,0,0,0,0,0,0,213,213,7.1,7.1
1,1,4441.0,4441.0,0,0,13.09,13.09,702,702,1,1,129.81,129.81,0.1039,10.87804719,10.87804719,0,0,0,0,1,0,0,0,0,0,1308,1308,6.9,6.9
1,1,2940.958333,2940.958333,0,0,12.23,12.23,727,727,0,0,221.4,221.4,0.0863,10.75363848,10.75363848,0,0,0,0,0,0,0,0,0,0,1287,1287,7.8,7.8
1,1,2669.958333,2669.958333,0,0,19.36,19.36,662,662,0,0,680.69,680.69,0.1513,11.22524339,11.22524339,0,0,0,0,0,1,0,0,0,0,20658,20658,55.4,55.4
1,1,10110.0,10110.0,0,0,21.48,21.48,722,722,1,1,228.22,228.22,0.1071,10.30895266,10.30895266,0,0,0,0,1,0,0,0,0,0,24397,24397,53.4,53.4
1,1,2249.958333,2249.958333,0,0,5.48,5.48,747,747,3,3,87.75,87.75,0.08,9.60238246,9.60238246,0,0,0,0,0,1,0,0,0,0,1946,1946,6.5,6.5
1,1,4989.0,4989.0,0,0,21.78,21.78,737,737,3,3,194.71,194.71,0.1039,10.20359214,10.20359214,0,0,0,0,0,0,0,1,0,0,1815,1815,60.5,60.5
1,1,5490.0,5490.0,0,0,20.44,20.44,672,672,1,1,525.17,525.17,0.157,11.35035948,11.35035948,0,0,0,0,0,1,0,0,0,0,28511,28511,56.7,56.7
1,1,8129.958333,8129.958333,0,0,8.91,8.91,792,792,1,1,803.87,803.87,0.0976,11.69524702,11.69524702,0,0,0,0,0,0,0,1,0,0,3706,3706,12.8,12.8
1,1,2730.0,2730.0,0,0,14.26,14.26,697,697,2,2,848.99,848.99,0.1355,11.03488966,11.03488966,1,1,0,0,0,1,0,0,0,0,7019,7019,13.4,13.4
1,1,2730.0,2730.0,0,0,11.31,11.31,727,727,0,0,450.17,450.17,0.0976,10.71441777,10.71441777,0,0,0,0,1,0,0,0,0,0,14571,14571,59.5,59.5
1,1,4530.0,4530.0,0,0,19.7,19.7,707,707,1,1,192.62,192.62,0.1229,11.48452599,11.48452599,0,0,0,0,0,1,0,0,0,0,13685,13685,46.7,46.7
1,1,6840.0,6840.0,0,0,8.14,8.14,697,697,2,2,292.16,292.16,0.1197,10.81977828,10.81977828,0,0,1,1,0,1,0,0,0,0,8243,8243,37.0,37.0
1,1,3029.958333,3029.958333,0,0,17.65,17.65,712,712,0,0,96.47,96.47,0.0976,10.77895629,10.77895629,0,0,0,0,1,0,0,0,0,0,6981,6981,42.8,42.8
1,1,4889.958333,4889.958333,0,0,21.57,21.57,747,747,0,0,323.05,323.05,0.1008,10.48192509,10.48192509,0,0,0,0,0,1,0,0,0,0,16973,16973,26.4,26.4
1,1,4529.958333,4529.958333,0,0,29.15,29.15,752,752,1,1,170.58,170.58,0.1387,10.70324447,10.70324447,0,0,0,0,0,1,0,0,0,0,5171,5171,44.2,44.2
1,1,4889.958333,4889.958333,0,0,5.44,5.44,682,682,1,1,296.1,296.1,0.1134,11.7905572,11.7905572,0,0,1,1,1,0,0,0,0,0,25120,25120,85.4,85.4
1,1,5070.0,5070.0,0,0,19.72,19.72,732,732,0,0,310.13,310.13,0.1008,11.00209984,11.00209984,0,0,0,0,0,1,0,0,0,0,19500,19500,30.9,30.9
1,1,1680.0,1680.0,0,0,20.59,20.59,662,662,0,0,289.14,289.14,0.145,10.81977828,10.81977828,0,0,0,0,0,1,0,0,0,0,19056,19056,69.0,69.0
1,1,4350.0,4350.0,0,0,5.38,5.38,752,752,0,0,188.02,188.02,0.08,10.20359214,10.20359214,0,0,0,0,0,0,0,0,0,0,5959,5959,70.9,70.9
1,1,7319.958333,7319.958333,0,0,12.48,12.48,702,702,1,1,163.01,163.01,0.1071,12.20607265,12.20607265,1,1,0,0,0,0,0,0,0,0,53087,53087,69.9,69.9
1,1,6060.0,6060.0,0,0,13.3,13.3,702,702,1,1,116.56,116.56,0.1071,10.75790288,10.75790288,1,1,1,1,0,0,0,1,0,0,10083,10083,53.9,53.9
1,1,1601.958333,1601.958333,0,0,19.24,19.24,662,662,0,0,255.86,255.86,0.1387,11.03488966,11.03488966,0,0,0,0,0,1,0,0,0,0,10748,10748,90.3,90.3
1,1,5189.958333,5189.958333,1,1,10.33,10.33,727,727,1,1,173.17,173.17,0.0863,11.1124479,11.1124479,0,0,0,0,0,0,0,1,0,0,2410,2410,4.4,4.4
1,1,3870.0,3870.0,0,0,5.26,5.26,762,762,1,1,219.36,219.36,0.08,11.08214255,11.08214255,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,1,13259.95833,13259.95833,2,2,5.49,5.49,747,747,3,3,149.55,149.55,0.0832,10.6454249,10.6454249,1,1,0,0,0,0,0,1,0,0,398,398,1.2,1.2
1,1,2729.958333,2729.958333,0,0,16.29,16.29,667,667,2,2,168.28,168.28,0.1292,10.59653473,10.59653473,0,0,0,0,0,1,0,0,0,0,14244,14244,85.8,85.8
1,1,3870.0,3870.0,0,0,7.77,7.77,767,767,1,1,219.36,219.36,0.08,10.70324447,10.70324447,0,0,0,0,0,0,0,0,0,0,6301,6301,22.7,22.7
1,1,3912.041667,3912.041667,0,0,16.64,16.64,692,692,0,0,306.68,306.68,0.1379,10.77895629,10.77895629,0,0,0,0,1,0,0,0,0,0,14398,14398,96.0,96.0
1,1,4169.958333,4169.958333,0,0,14.82,14.82,717,717,0,0,96.03,96.03,0.0945,10.16554408,10.16554408,0,0,0,0,0,0,0,0,1,0,1059,1059,11.1,11.1
1,1,4380.0,4380.0,0,0,1.55,1.55,697,697,1,1,80.77,80.77,0.1008,11.08220409,11.08220409,0,0,0,0,0,0,0,0,0,0,9743,9743,62.9,62.9
1,1,1259.958333,1259.958333,3,3,1.68,1.68,672,672,2,2,250.15,250.15,0.1229,11.08214255,11.08214255,0,0,0,0,0,1,0,0,0,0,2871,2871,7.9,7.9
1,1,4980.0,4980.0,0,0,5.24,5.24,667,667,2,2,166.77,166.77,0.1229,10.97472864,10.97472864,0,0,0,0,0,0,0,0,1,0,5073,5073,50.0,50.0
1,1,5700.0,5700.0,0,0,12.44,12.44,682,682,2,2,163.77,163.77,0.1103,11.42566678,11.42566678,0,0,0,0,0,0,0,1,0,0,7945,7945,41.4,41.4
1,1,1649.958333,1649.958333,0,0,3.96,3.96,682,682,1,1,246.75,246.75,0.1134,10.40426284,10.40426284,0,0,0,0,0,0,0,0,0,0,8644,8644,28.0,28.0
1,1,4919.958333,4919.958333,0,0,16.24,16.24,697,697,0,0,192.35,192.35,0.1071,10.51325312,10.51325312,0,0,0,0,0,1,0,0,0,0,3382,3382,36.1,36.1
1,1,1500.0,1500.0,0,0,5.71,5.71,667,667,1,1,251.3,251.3,0.1261,10.6454249,10.6454249,0,0,0,0,0,1,0,0,0,0,8944,8944,57.0,57.0
1,1,2460.0,2460.0,0,0,15.07,15.07,762,762,0,0,125.94,125.94,0.0832,10.37361617,10.37361617,0,0,0,0,0,0,0,0,0,0,1152,1152,16.5,16.5
1,1,2850.0,2850.0,0,0,17.59,17.59,687,687,2,2,247.9,247.9,0.1166,11.01862914,11.01862914,0,0,0,0,0,0,0,0,0,0,6550,6550,47.8,47.8
1,1,3540.0,3540.0,0,0,3.18,3.18,672,672,0,0,250.15,250.15,0.1229,11.7829526,11.7829526,0,0,1,1,0,0,0,1,0,0,56481,56481,61.7,61.7
1,1,2610.0,2610.0,0,0,1.71,1.71,672,672,0,0,100.06,100.06,0.1229,10.6454249,10.6454249,1,1,0,0,0,0,0,0,1,0,1487,1487,45.1,45.1
1,1,1800.0,1800.0,0,0,19.92,19.92,672,672,2,2,201.04,201.04,0.1261,10.30895266,10.30895266,1,1,0,0,0,1,0,0,0,0,3211,3211,78.3,78.3
1,1,5219.958333,5219.958333,0,0,7.43,7.43,662,662,2,2,50.03,50.03,0.1229,11.9512062,11.9512062,0,0,0,0,0,0,0,0,0,0,8545,8545,30.6,30.6
1,1,2820.0,2820.0,0,0,16.76,16.76,667,667,0,0,253.58,253.58,0.1324,10.05173513,10.05173513,1,1,0,0,0,1,0,0,0,0,4013,4013,66.9,66.9
1,1,4350.0,4350.0,0,0,20.81,20.81,707,707,1,1,147.39,147.39,0.1103,10.75790288,10.75790288,0,0,0,0,1,0,0,0,0,0,25469,25469,98.5,98.5
1,1,4949.958333,4949.958333,3,3,23.99,23.99,687,687,0,0,221.75,221.75,0.1387,11.56171563,11.56171563,0,0,0,0,1,0,0,0,0,0,68479,68479,48.9,48.9
1,1,6809.958333,6809.958333,1,1,0.0,0.0,772,772,0,0,154.39,154.39,0.0768,10.46310334,10.46310334,0,0,0,0,0,0,0,0,0,0,1238,1238,7.3,7.3
1,1,4979.958333,4979.958333,0,0,10.12,10.12,687,687,0,0,246.54,246.54,0.1128,11.65507586,11.65507586,0,0,0,0,1,0,0,0,0,0,34842,34842,95.5,95.5
1,1,3360.0,3360.0,0,0,1.8,1.8,697,697,0,0,196.32,196.32,0.1096,10.30895266,10.30895266,0,0,0,0,0,0,0,0,0,0,2898,2898,42.9,42.9
1,1,4650.0,4650.0,0,0,22.76,22.76,712,712,0,0,376.52,376.52,0.1222,10.95080655,10.95080655,1,1,0,0,0,0,0,0,1,0,8939,8939,74.5,74.5
1,1,1349.958333,1349.958333,0,0,12.47,12.47,662,662,3,3,221.08,221.08,0.1475,10.23995979,10.23995979,0,0,0,0,0,0,0,0,0,0,117,117,5.3,5.3
1,1,5309.958333,5309.958333,1,1,24.47,24.47,697,697,0,0,109.01,109.01,0.1601,10.61888534,10.61888534,0,0,0,0,0,1,0,0,0,0,37864,37864,98.3,98.3
1,1,5850.0,5850.0,0,0,16.11,16.11,762,762,0,0,134.42,134.42,0.0863,11.33857208,11.33857208,0,0,0,0,1,0,0,0,0,0,16225,16225,55.9,55.9
1,1,3539.958333,3539.958333,0,0,19.25,19.25,707,707,1,1,236.68,236.68,0.1128,10.93403511,10.93403511,0,0,0,0,0,0,0,1,0,0,3280,3280,29.0,29.0
1,1,6300.0,6300.0,0,0,5.13,5.13,717,717,3,3,216.23,216.23,0.1001,10.59663473,10.59663473,1,1,1,1,0,0,0,0,0,0,4225,4225,28.9,28.9
1,1,4559.958333,4559.958333,0,0,19.77,19.77,677,677,1,1,87.91,87.91,0.1191,10.51686074,10.51686074,0,0,1,1,0,1,0,0,0,0,10679,10679,55.3,55.3
1,1,2670.0,2670.0,0,0,13.88,13.88,752,752,6,6,180.76,180.76,0.1033,10.30908599,10.30908599,0,0,0,0,0,0,0,0,0,0,5063,5063,40.8,40.8
1,1,2550.0,2550.0,1,1,17.63,17.63,677,677,2,2,145.78,145.78,0.1222,10.24313332,10.24313332,0,0,0,0,0,0,0,0,1,0,7474,7474,35.8,35.8
1,1,5580.0,5580.0,0,0,22.36,22.36,677,677,2,2,79.97,79.97,0.1222,10.63585545,10.63585545,0,0,0,0,0,0,0,0,0,0,12785,12785,77.2,77.2
1,1,7529.958333,7529.958333,0,0,0.0,0.0,772,772,6,6,180.76,180.76,0.1033,10.6454249,10.6454249,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
1,1,3209.958333,3209.958333,0,0,4.65,4.65,682,682,0,0,139.71,139.71,0.1128,10.91508846,10.91508846,1,1,0,0,0,0,0,0,0,0,2801,2801,63.7,63.7
1,1,5820.0,5820.0,0,0,20.45,20.45,707,707,2,2,158.5,158.5,0.1159,10.81977828,10.81977828,0,0,0,0,0,1,0,0,0,0,11781,11781,58.9,58.9
1,1,6630.0,6630.0,0,0,20.95,20.95,702,702,0,0,226.78,226.78,0.1254,11.37779279,11.37779279,0,0,0,0,1,0,0,0,0,0,31518,31518,93.2,93.2
1,1,3239.958333,3239.958333,0,0,24.77,24.77,682,682,0,0,191.73,191.73,0.1412,10.23995979,10.23995979,0,0,0,0,1,0,0,0,0,0,86,86,1.1,1.1
1,1,2910.0,2910.0,0,0,11.89,11.89,687,687,1,1,247.65,247.65,0.1159,11.66650455,11.66650455,0,0,0,0,1,0,0,0,0,0,25588,25588,58.0,58.0
1,1,4979.958333,4979.958333,1,1,15.21,15.21,727,727,0,0,242.04,242.04,0.1001,11.27720313,11.27720313,0,0,0,0,0,0,0,0,0,0,2801,2801,6.7,6.7
1,1,6089.958333,6089.958333,0,0,14.16,14.16,707,707,0,0,411.97,411.97,0.1146,11.32418334,11.32418334,0,0,0,0,0,0,0,0,0,1,41893,41893,62.5,62.5
1,1,2069.958333,2069.958333,0,0,13.73,13.73,692,692,0,0,197.75,197.75,0.1146,10.34817337,10.34817337,1,1,0,0,1,0,0,0,0,0,14154,14154,85.8,85.8
1,1,2550.0,2550.0,0,0,12.09,12.09,667,667,1,1,216.38,216.38,0.06,10.23995979,10.23995979,0,0,0,0,0,1,0,0,0,0,14320,14320,67.5,67.5
1,1,5250.0,5250.0,0,0,9.06,9.06,692,692,1,1,517.87,517.87,0.1241,10.54534144,10.54534144,0,0,1,1,0,1,0,0,0,0,17297,17297,77.6,77.6
1,1,3899.958333,3899.958333,0,0,17.43,17.43,707,707,0,0,595.97,595.97,0.1178,11.44035477,11.44035477,0,0,0,0,0,1,0,0,0,0,29046,29046,41.8,41.8
